"Database Name","Species","Authority","Habitat","Organism Type","Common Name","Description","IUIS Name","Accession","Length","Link","Route of allergen exposure","Group1","Allergenecity","Gene ID","Biochemical Name","MW(SDS-PAGE)","Source"
"Compare ","Actinidia chinensis"," Planch.","Terristorial","Plant","Kiwi","RecName: Full=Non-specific lipid-transfer protein 1; Short=LTP1; AltName: Allergen=Act c 10","IUIS Name not found","P85204.1","15","http://db.comparedatabase.org/allergens/view/P85204.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia chinensis"," Planch.","Terristorial","Plant","Kiwi","pathogenesis related protein / PR-10 / Bet v 1-like protein","Act c 8","CAM31908.1","159","http://db.comparedatabase.org/allergens/view/CAM31908.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia chinensis"," Planch.","Terristorial","Plant","Kiwi","cysteine protease, actinidin","Act c 1","P00785.4","380","http://db.comparedatabase.org/allergens/view/P00785.4","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia chinensis"," Planch.","Terristorial","Plant","Kiwi","Thaumatin-like protein (Allergen Act c 2)","IUIS Name not found","P83958.1","20","http://db.comparedatabase.org/allergens/view/P83958.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1984","Terristorial","Plant","kiwifruit","Allergen Act d 12; partial","IUIS Name not found","COMPARE178","10","http://db.comparedatabase.org/allergens/view/COMPARE178","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1985","Terristorial","Plant","kiwifruit","Allergen Act d 12; partial","IUIS Name not found","COMPARE180","17","http://db.comparedatabase.org/allergens/view/COMPARE180","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1986","Terristorial","Plant","kiwifruit","Allergen Act d 12; partial","IUIS Name not found","COMPARE015","26","http://db.comparedatabase.org/allergens/view/COMPARE015","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1987","Terristorial","Plant","kiwifruit","Allergen Act d 12.0101; 11S globulin, partial","IUIS Name not found","C0HJF9.1","13","http://db.comparedatabase.org/allergens/view/C0HJF9.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1988","Terristorial","Plant","Kiwifruit","Chain A, Crystal Structure of The Kiwifruit Allergen Act D 5","IUIS Name not found","4X9U_A","189","http://db.comparedatabase.org/allergens/view/4X9U_A","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1989","Terristorial","Plant","Kiwi","Putative Act d 9.0101","IUIS Name not found","FG438715.1","109","http://db.comparedatabase.org/allergens/view/FG438715.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1990","Terristorial","Plant","Kiwi","kiwellin [Actinidia deliciosa]","IUIS Name not found","AGC39164.1","213","http://db.comparedatabase.org/allergens/view/AGC39164.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1991","Terristorial","Plant","Kiwi","kiwellin [Actinidia deliciosa]","IUIS Name not found","AGC39165.1","213","http://db.comparedatabase.org/allergens/view/AGC39165.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1992","Terristorial","Plant","Kiwi","kiwellin [Actinidia deliciosa]","IUIS Name not found","AGC39166.1","213","http://db.comparedatabase.org/allergens/view/AGC39166.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1993","Terristorial","Plant","Kiwi","kiwellin [Actinidia deliciosa]","IUIS Name not found","AGC39167.1","213","http://db.comparedatabase.org/allergens/view/AGC39167.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1994","Terristorial","Plant","Kiwi","RecName: Full=Non-specific lipid-transfer protein 1; Short=LTP1; Short=nsLTP1; AltName: Allergen=Act d 10.01","IUIS Name not found","P86137.2","92","http://db.comparedatabase.org/allergens/view/P86137.2","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1995","Terristorial","Plant","Kiwi","RecName: Full=Non-specific lipid-transfer protein 2; Short=LTP2; AltName: Allergen=Act d 10.02","IUIS Name not found","P85206.1","92","http://db.comparedatabase.org/allergens/view/P85206.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1996","Terristorial","Plant","Kiwi","RecName: Full=Kirola; AltName: Allergen=Act d 11","IUIS Name not found","P85524.1","150","http://db.comparedatabase.org/allergens/view/P85524.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1997","Terristorial","Plant","Kiwi","RecName: Full=Actinidain; Short=Actinidin; AltName: Full=Allergen Act d 1; AltName: Allergen=Act d 1; Flags: Precursor","IUIS Name not found","A5HII1.1","380","http://db.comparedatabase.org/allergens/view/A5HII1.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1998","Terristorial","Plant","Kiwi","pathogenesis related protein / PR-10 / Bet v 1-like protein","Act d 8","CAM31909.1","157","http://db.comparedatabase.org/allergens/view/CAM31909.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 1999","Terristorial","Plant","Kiwi","thaumatin-like protein [Actinidia deliciosa]","IUIS Name not found","ABQ42566.1","201","http://db.comparedatabase.org/allergens/view/ABQ42566.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 2000","Terristorial","Plant","Kiwi","kiwellin","Act d 5","P84527.1","189","http://db.comparedatabase.org/allergens/view/P84527.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 2001","Terristorial","Plant","Kiwi","cysteine protease (actinidin)","Act d 1","CAA34486.1","380","http://db.comparedatabase.org/allergens/view/CAA34486.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 2002","Terristorial","Plant","Kiwi","phytocystatin","Act d 4","AAR92223.1","116","http://db.comparedatabase.org/allergens/view/AAR92223.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 2003","Terristorial","Plant","Kiwi","actinidin","IUIS Name not found","AAA32629.1","380","http://db.comparedatabase.org/allergens/view/AAA32629.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia deliciosa","Liang et Ferguson, 2004","Terristorial","Plant","Kiwi","thaumatin-like protein (TLP)","Act d 2","CAI38795.2","225","http://db.comparedatabase.org/allergens/view/CAI38795.2","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia eriantha","Bentham","Terristorial","Plant","Climber (plant)","kiwellin [Actinidia eriantha]","IUIS Name not found","AGC39169.1","213","http://db.comparedatabase.org/allergens/view/AGC39169.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia eriantha","Bentham","Terristorial","Plant","Climber (plant)","kiwellin [Actinidia eriantha]","IUIS Name not found","AGC39170.1","213","http://db.comparedatabase.org/allergens/view/AGC39170.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Actinidia eriantha","Bentham","Terristorial","Plant","Climber (plant)","kiwellin [Actinidia eriantha]","IUIS Name not found","AGC39171.1","213","http://db.comparedatabase.org/allergens/view/AGC39171.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 8; HSC-70, partial","IUIS Name not found","COMPARE080","13","http://db.comparedatabase.org/allergens/view/COMPARE080","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 8; HSC-70, partial","IUIS Name not found","COMPARE081","13","http://db.comparedatabase.org/allergens/view/COMPARE081","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 8; HSC-70, partial","IUIS Name not found","COMPARE082","14","http://db.comparedatabase.org/allergens/view/COMPARE082","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 8; HSC-70, partial","IUIS Name not found","COMPARE083","16","http://db.comparedatabase.org/allergens/view/COMPARE083","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 8; HSC-70, partial","IUIS Name not found","COMPARE084","18","http://db.comparedatabase.org/allergens/view/COMPARE084","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 8; HSC-70, partial","IUIS Name not found","COMPARE085","18","http://db.comparedatabase.org/allergens/view/COMPARE085","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 8; HSC-70, partial","IUIS Name not found","COMPARE086","18","http://db.comparedatabase.org/allergens/view/COMPARE086","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 5; Sarcoplasmic Ca+ (EF-hand) binding protein, partial","IUIS Name not found","COMPARE087","24","http://db.comparedatabase.org/allergens/view/COMPARE087","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 5; Sarcoplasmic Ca+ (EF-hand) binding protein, partial","IUIS Name not found","COMPARE088","15","http://db.comparedatabase.org/allergens/view/COMPARE088","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 5; Sarcoplasmic Ca+ (EF-hand) binding protein, partial","IUIS Name not found","COMPARE089","16","http://db.comparedatabase.org/allergens/view/COMPARE089","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 5; Sarcoplasmic Ca+ (EF-hand) binding protein, partial","IUIS Name not found","COMPARE090","17","http://db.comparedatabase.org/allergens/view/COMPARE090","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 5; Sarcoplasmic Ca+ (EF-hand) binding protein, partial","IUIS Name not found","COMPARE091","16","http://db.comparedatabase.org/allergens/view/COMPARE091","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 6; Porin3, partial","IUIS Name not found","COMPARE181","25","http://db.comparedatabase.org/allergens/view/COMPARE181","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 11; Lysosomal aspartic protease, partial","IUIS Name not found","COMPARE092","19","http://db.comparedatabase.org/allergens/view/COMPARE092","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 11; Lysosomal aspartic protease, partial","IUIS Name not found","COMPARE093","18","http://db.comparedatabase.org/allergens/view/COMPARE093","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 11; Lysosomal aspartic protease, partial","IUIS Name not found","COMPARE094","12","http://db.comparedatabase.org/allergens/view/COMPARE094","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 11; Lysosomal aspartic protease, partial","IUIS Name not found","COMPARE095","13","http://db.comparedatabase.org/allergens/view/COMPARE095","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 11; Lysosomal aspartic protease, partial","IUIS Name not found","COMPARE096","14","http://db.comparedatabase.org/allergens/view/COMPARE096","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 11; Lysosomal aspartic protease, partial","IUIS Name not found","COMPARE097","15","http://db.comparedatabase.org/allergens/view/COMPARE097","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","yellow fever mosquito","Allergen Aed a 11; Lysosomal aspartic protease, partial","IUIS Name not found","COMPARE098","11","http://db.comparedatabase.org/allergens/view/COMPARE098","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","Yellow Fever mosquito","alpha-glucosidase","Aed a 4","P13080","579","http://db.comparedatabase.org/allergens/view/P13080","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","Yellow fever mosquito","RecName: Full=Apyrase; AltName: Full=Adenosine diphosphatase; AltName: Full=ATP-diphosphohydrolase; AltName: Full=ATP-diphosphatase; Short=ADPase; AltName: Allergen=Aed a 1; Flags: Precursor","IUIS Name not found","P50635.2","562","http://db.comparedatabase.org/allergens/view/P50635.2","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","Yellow fever mosquito","RecName: Full=37 kDa salivary gland allergen Aed a 2; AltName: Full=Protein D7; AltName: Allergen=Aed a 2; Flags: Precursor","IUIS Name not found","P18153.2","321","http://db.comparedatabase.org/allergens/view/P18153.2","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","Yellow fever mosquito","apyrase","Aed a 1","AAC37218.1","562","http://db.comparedatabase.org/allergens/view/AAC37218.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","Yellow fever mosquito","30 kDa salivary gland allergen variant 2 [Aedes aegypti]","IUIS Name not found","ABF18122.1","273","http://db.comparedatabase.org/allergens/view/ABF18122.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
"Compare ","Aedes aegypti","Linnaeus","Terristorial","Animal","Yellow fever mosquito","30 kDa salivary gland allergen Aed a 3 [Aedes aegypti]","IUIS Name not found","AAB58417.1","253","http://db.comparedatabase.org/allergens/view/AAB58417.1","Route of allergen exposure not found","Group names which include the genus and protein type or IUIS designation not found","Data not found for IgE binding only or IgE binding plus biological activity test","GENE ID not specified","Biochemical Name not found","Molecular weight of protein not found","Allergen Source not found"
